adp_number,sdp_number,avg_adp_hops,avg_sdp_hops,avg_adp_length,avg_sdp_length,demand,src,dst
1,1,16.00,16,7455.72,7455.72,0,702,359
1,1,13.00,13,8669.26,8669.26,0,359,7
1,1,11.00,11,2223.03,2223.03,0,644,359
1,1,9.00,9,1493.35,1493.35,0,643,359
1,1,8.00,8,5000.14,5000.14,0,636,359
1,1,10.00,10,5639.23,5639.23,0,635,359
1,1,12.00,12,5746.77,5746.77,0,634,359
1,1,11.00,11,8156.11,8156.11,0,359,6
1,1,21.00,21,6324.88,6324.88,0,565,359
1,1,18.00,18,3604.04,3604.04,0,359,5
1,1,22.00,22,6924.83,6924.83,0,449,359
1,1,13.00,13,5943.35,5943.35,0,402,359
1,1,14.00,14,2863.49,2863.49,0,359,4
1,1,1.00,1,85.20,85.20,0,360,359
1,1,16.00,16,2805.32,2805.32,0,998,356
1,1,10.00,10,6246.56,6246.56,0,993,356
1,1,7.00,7,3190.78,3190.78,0,981,356
1,1,8.00,8,3608.91,3608.91,0,951,356
1,1,15.00,15,9395.36,11027.56,0,941,356
1,1,16.00,16,9444.76,9948.36,0,939,356
1,1,15.00,15,9786.10,9786.10,0,937,356
1,1,16.00,16,11627.39,11627.39,0,936,356
1,1,15.00,15,9798.16,9798.16,0,935,356
1,1,14.00,14,9354.32,9354.32,0,934,356
1,1,15.00,15,11177.78,11177.78,0,933,356
1,1,14.00,14,10980.48,10980.48,0,932,356
1,1,14.00,14,10986.16,10986.16,0,931,356
1,1,15.00,15,11416.70,11416.70,0,930,356
1,1,15.00,15,9784.07,9784.07,0,929,356
1,1,17.00,17,4886.89,4886.89,0,768,356
1,1,14.00,14,4693.18,4693.18,0,750,356
1,1,15.00,15,4808.50,4808.50,0,749,356
1,1,15.00,15,4792.35,4792.35,0,748,356
1,1,12.00,12,4532.96,4532.96,0,747,356
1,1,13.00,13,4610.06,4610.06,0,746,356
1,1,10.00,10,4449.96,4127.95,0,745,356
1,1,9.00,9,4045.42,4045.42,0,744,356
1,1,10.00,10,4413.22,4413.22,0,743,356
1,1,8.00,8,3729.00,3729.00,0,742,356
1,1,12.00,12,4608.53,4608.53,0,741,356
1,1,16.00,16,4826.81,4826.81,0,740,356
1,1,11.00,11,4568.69,4568.69,0,739,356
1,1,18.00,18,4927.71,4927.71,0,738,356
1,1,15.00,15,4777.94,4777.94,0,737,356
1,1,13.00,13,4650.32,4650.32,0,736,356
1,1,8.00,8,3766.89,3766.89,0,735,356
1,1,7.00,7,3284.23,3284.23,0,734,356
1,1,10.00,10,4373.04,4373.04,0,733,356
1,1,9.00,9,4036.51,4036.51,0,731,356
1,1,14.00,14,4716.13,4716.13,0,730,356
1,1,11.00,11,4476.91,4476.91,0,729,356
1,1,14.00,14,6857.34,6857.34,0,712,356
1,1,17.00,17,7173.12,7173.12,0,711,356
1,1,16.00,16,7065.01,7065.01,0,710,356
1,1,12.00,12,6785.41,6785.41,0,709,356
1,1,12.00,12,6711.26,6711.26,0,708,356
1,1,11.00,11,6669.46,6669.46,0,707,356
1,1,11.00,11,6662.72,6662.72,0,706,356
1,1,13.00,13,6764.22,6764.22,0,705,356
1,1,12.00,12,6855.83,6855.83,0,704,356
1,1,10.00,10,6495.30,6495.30,0,703,356
1,1,15.00,15,6973.35,6973.35,0,702,356
1,1,14.00,14,9546.78,9546.78,0,356,7
1,1,10.00,10,1740.66,1740.66,0,644,356
1,1,8.00,8,1010.99,1010.99,0,643,356
1,1,9.00,9,5877.65,5877.65,0,636,356
1,1,11.00,11,6516.74,6516.74,0,635,356
1,1,13.00,13,6624.29,6624.29,0,634,356
1,1,12.00,12,9033.63,9033.63,0,356,6
1,1,20.00,20,5842.52,5842.52,0,565,356
1,1,17.00,17,3121.68,3121.68,0,356,5
1,1,21.00,21,6442.47,6442.47,0,449,356
1,1,13.00,13,4712.61,4712.61,0,402,356
1,1,13.00,13,2381.13,2381.13,0,356,4
1,1,6.00,6,1378.03,1378.03,0,360,356
1,1,7.00,7,1463.22,1463.22,0,359,356
1,1,15.00,15,8560.03,3106.60,0,998,355
1,1,11.00,11,10345.25,10345.25,0,936,355
1,1,10.00,10,10134.57,10134.57,0,930,355
1,1,13.00,13,5713.01,5713.01,0,768,355
1,1,11.00,11,5618.47,5618.47,0,748,355
1,1,12.00,12,5652.93,5652.93,0,740,355
1,1,14.00,14,5753.82,5753.82,0,738,355
1,1,7.00,7,1312.27,1312.27,0,643,355
1,1,8.00,8,5342.16,5342.16,0,634,355
1,1,18.00,18,7403.85,7403.85,0,565,355
1,1,19.00,19,8003.80,8003.80,0,449,355
1,1,3.00,3,319.42,319.42,0,360,355
1,1,4.00,4,404.62,404.62,0,359,355
1,1,5.00,5,1282.14,1282.14,0,356,355
1,1,14.00,14,2994.83,2994.83,0,998,353
1,1,12.00,12,10457.02,10457.02,0,936,353
1,1,11.00,11,10246.33,10246.33,0,930,353
1,1,14.00,14,5824.78,5824.78,0,768,353
1,1,12.00,12,5730.23,5730.23,0,748,353
1,1,13.00,13,5764.70,5764.70,0,740,353
1,1,15.00,15,5865.59,5865.59,0,738,353
1,1,6.00,6,1200.50,1200.50,0,643,353
1,1,9.00,9,5453.92,5453.92,0,634,353
1,1,18.00,18,6032.03,6032.03,0,565,353
1,1,19.00,19,6631.98,6631.98,0,449,353
1,1,2.00,2,207.65,207.65,0,360,353
1,1,3.00,3,292.85,292.85,0,359,353
1,1,4.00,4,1170.37,1170.37,0,356,353
1,1,15.00,15,3128.57,3128.57,0,998,350
1,1,7.00,7,5209.93,5209.93,0,993,350
1,1,4.00,4,2154.15,2154.15,0,981,350
1,1,5.00,5,2572.28,2572.28,0,951,350
1,1,12.00,12,8358.73,9990.93,0,941,350
1,1,13.00,13,8408.13,8911.73,0,939,350
1,1,12.00,12,8749.47,8749.47,0,937,350
1,1,13.00,13,10590.76,10590.76,0,936,350
1,1,12.00,12,8761.53,8761.53,0,935,350
1,1,11.00,11,8317.69,8317.69,0,934,350
1,1,12.00,12,10141.15,10141.15,0,933,350
1,1,11.00,11,9943.85,9943.85,0,932,350
1,1,11.00,11,9949.53,9949.53,0,931,350
1,1,12.00,12,10380.07,10380.07,0,930,350
1,1,12.00,12,8747.44,8747.44,0,929,350
1,1,15.00,15,5958.51,5958.51,0,768,350
1,1,12.00,12,5764.80,5764.80,0,750,350
1,1,13.00,13,5880.12,5880.12,0,749,350
1,1,13.00,13,5863.97,5863.97,0,748,350
1,1,10.00,10,5604.58,5604.58,0,747,350
1,1,11.00,11,5681.68,5681.68,0,746,350
1,1,8.00,8,5521.59,5199.57,0,745,350
1,1,7.00,7,5117.04,5117.04,0,744,350
1,1,9.00,9,4736.47,4736.47,0,743,350
1,1,6.00,6,4800.62,4800.62,0,742,350
1,1,11.00,11,4931.78,4931.78,0,741,350
1,1,14.00,14,5898.44,5898.44,0,740,350
1,1,10.00,10,4891.94,4891.94,0,739,350
1,1,16.00,16,5999.33,5999.33,0,738,350
1,1,14.00,14,5101.19,5101.19,0,737,350
1,1,12.00,12,4973.57,4973.57,0,736,350
1,1,7.00,7,4090.14,4090.14,0,735,350
1,1,6.00,6,3607.48,3607.48,0,734,350
1,1,8.00,8,5444.66,5444.66,0,733,350
1,1,8.00,8,4359.76,4359.76,0,731,350
1,1,13.00,13,5039.38,5039.38,0,730,350
1,1,9.00,9,5548.53,5548.53,0,729,350
1,1,13.00,13,7180.58,7180.58,0,712,350
1,1,16.00,16,7496.37,7496.37,0,711,350
1,1,15.00,15,7388.26,7388.26,0,710,350
1,1,11.00,11,7108.66,7108.66,0,709,350
1,1,11.00,11,7034.51,7034.51,0,708,350
1,1,10.00,10,6992.71,6992.71,0,707,350
1,1,10.00,10,6985.97,6985.97,0,706,350
1,1,12.00,12,7087.47,7087.47,0,705,350
1,1,11.00,11,7179.08,7179.08,0,704,350
1,1,9.00,9,6818.55,6818.55,0,703,350
1,1,14.00,14,7296.60,7296.60,0,702,350
1,1,11.00,11,8510.14,8510.14,0,350,7
1,1,9.00,9,2063.91,2063.91,0,644,350
1,1,7.00,7,1334.24,1334.24,0,643,350
1,1,6.00,6,4841.02,4841.02,0,636,350
1,1,8.00,8,5480.11,5480.11,0,635,350
1,1,10.00,10,5587.66,5587.66,0,634,350
1,1,9.00,9,7997.00,7997.00,0,350,6
1,1,19.00,19,6165.77,6165.77,0,565,350
1,1,16.00,16,3444.93,3444.93,0,350,5
1,1,20.00,20,6765.71,6765.71,0,449,350
1,1,11.00,11,5784.23,5784.23,0,402,350
1,1,12.00,12,2704.38,2704.38,0,350,4
1,1,1.00,1,73.91,73.91,0,360,350
1,1,2.00,2,159.11,159.11,0,359,350
1,1,5.00,5,1304.11,1304.11,0,356,350
1,1,2.00,2,245.50,245.50,0,355,350
1,1,1.00,1,133.74,133.74,0,353,350
1,1,4.00,4,407.80,407.80,0,998,3
1,1,14.00,14,7584.68,7584.68,0,993,3
1,1,13.00,13,6438.31,6438.31,0,981,3
1,1,12.00,12,6020.19,6020.19,0,951,3
1,1,19.00,19,10733.47,12365.68,0,941,3
1,1,20.00,20,10782.88,11286.47,0,939,3
1,1,19.00,19,11124.22,11124.22,0,937,3
1,1,20.00,20,12965.51,12965.51,0,936,3
1,1,19.00,19,11136.28,11136.28,0,935,3
1,1,18.00,18,10692.44,10692.44,0,934,3
1,1,19.00,19,12515.89,12515.89,0,933,3
1,1,18.00,18,12318.60,12318.60,0,932,3
1,1,18.00,18,12324.28,12324.28,0,931,3
1,1,19.00,19,12754.82,12754.82,0,930,3
1,1,19.00,19,11122.19,11122.19,0,929,3
1,1,20.00,20,4949.73,4949.73,0,768,3
1,1,17.00,17,4756.02,4756.02,0,750,3
1,1,18.00,18,4871.34,4871.34,0,749,3
1,1,18.00,18,4855.19,4855.19,0,748,3
1,1,15.00,15,4595.80,4595.80,0,747,3
1,1,16.00,16,4672.90,4672.90,0,746,3
1,1,13.00,13,4512.80,4190.79,0,745,3
1,1,12.00,12,4108.25,4108.25,0,744,3
1,1,13.00,13,4476.06,4476.06,0,743,3
1,1,11.00,11,3791.84,3791.84,0,742,3
1,1,15.00,15,4671.37,4671.37,0,741,3
1,1,19.00,19,4889.65,4889.65,0,740,3
1,1,14.00,14,4631.53,4631.53,0,739,3
1,1,21.00,21,4990.54,4990.54,0,738,3
1,1,18.00,18,4840.78,4840.78,0,737,3
1,1,16.00,16,4713.15,4713.15,0,736,3
1,1,11.00,11,3829.73,3829.73,0,735,3
1,1,10.00,10,3347.07,3347.07,0,734,3
